date,ticker,in_index
2005-01-31,A,1
2005-01-31,AA,1
2005-01-31,AAPL,1
2005-01-31,ABK,1
2005-01-31,ABS,1
2005-01-31,ABT,1
2005-01-31,ACAS,1
2005-01-31,ACE,1
2005-01-31,ADBE,1
2005-01-31,ADCT,1
2005-01-31,ADI,1
2005-01-31,ADM,1
2005-01-31,ADP,1
2005-01-31,ADSK,1
2005-01-31,AEE,1
2005-01-31,AEP,1
2005-01-31,AES,1
2005-01-31,AET,1
2005-01-31,AFL,1
2005-01-31,AGN,1
2005-01-31,AIG,1
2005-01-31,AIV,1
2005-01-31,AIZ,1
2005-01-31,AKAM,1
2005-01-31,ALL,1
2005-01-31,ALTR,1
2005-01-31,AMAT,1
2005-01-31,AMD,1
2005-01-31,AMGN,1
2005-01-31,AMP,1
2005-01-31,AMT,1
2005-01-31,AN,1
2005-01-31,ANDV,1
2005-01-31,ANF,1
2005-01-31,AON,1
2005-01-31,APA,1
2005-01-31,APC,1
2005-01-31,APD,1
2005-01-31,APH,1
2005-01-31,APOL,1
2005-01-31,APTV,1
2005-01-31,ATI,1
2005-01-31,AV,1
2005-01-31,AVP,1
2005-01-31,AVY,1
2005-01-31,AXP,1
2005-01-31,AYE,1
2005-01-31,AZO,1
2005-01-31,BA,1
2005-01-31,BAC,1
2005-01-31,BALL,1
2005-01-31,BAX,1
2005-01-31,BBBY,1
2005-01-31,BBWI,1
2005-01-31,BBY,1
2005-01-31,BC,1
2005-01-31,BCR,1
2005-01-31,BDX,1
2005-01-31,BEAM,1
2005-01-31,BEN,1
2005-01-31,BF-B,1
2005-01-31,BHI,1
2005-01-31,BIG,1
2005-01-31,BIIB,1
2005-01-31,BJS,1
2005-01-31,BK,1
2005-01-31,BKNG,1
2005-01-31,BMC,1
2005-01-31,BMS,1
2005-01-31,BMY,1
2005-01-31,BRCM,1
2005-01-31,BRK-B,1
2005-01-31,BSX,1
2005-01-31,BTU,1
2005-01-31,BXP,1
2005-01-31,C,1
2005-01-31,CA,1
2005-01-31,CAG,1
2005-01-31,CAH,1
2005-01-31,CAM,1
2005-01-31,CAT,1
2005-01-31,CBE,1
2005-01-31,CBRE,1
2005-01-31,CCE,1
2005-01-31,CCL,1
2005-01-31,CEG,1
2005-01-31,CELG,1
2005-01-31,CEPH,1
2005-01-31,CF,1
2005-01-31,CFC,1
2005-01-31,CFN,1
2005-01-31,CHK,1
2005-01-31,CHRW,1
2005-01-31,CI,1
2005-01-31,CIEN,1
2005-01-31,CINF,1
2005-01-31,CL,1
2005-01-31,CLX,1
2005-01-31,CMA,1
2005-01-31,CMCSA,1
2005-01-31,CME,1
2005-01-31,CMI,1
2005-01-31,CMS,1
2005-01-31,CNP,1
