ticker,n_prices,last_price_month,classification
AMTM,4,2024-12-31,legitimate thru window (likely 2025 removal)
ANSS,0,no-prices,non-participating (zero impact)
AVB,252,2024-12-31,legitimate thru window (likely 2025 removal)
BWA,252,2024-12-31,legitimate thru window (likely 2025 removal)
CAG,252,2024-12-31,legitimate thru window (likely 2025 removal)
CDAY,0,no-prices,non-participating (zero impact)
CE,240,2024-12-31,legitimate thru window (likely 2025 removal)
COG,0,no-prices,non-participating (zero impact)
CPB,252,2024-12-31,legitimate thru window (likely 2025 removal)
CTLT,0,no-prices,non-participating (zero impact)
CTRA,252,2024-12-31,legitimate thru window (likely 2025 removal)
CZR,124,2024-12-31,legitimate thru window (likely 2025 removal)
DAY,0,no-prices,non-participating (zero impact)
DFS,0,no-prices,non-participating (zero impact)
DLPH,0,no-prices,non-participating (zero impact)
EA,252,2024-12-31,legitimate thru window (likely 2025 removal)
EMN,252,2024-12-31,legitimate thru window (likely 2025 removal)
ENPH,154,2024-12-31,legitimate thru window (likely 2025 removal)
EPAM,155,2024-12-31,legitimate thru window (likely 2025 removal)
EQR,252,2024-12-31,legitimate thru window (likely 2025 removal)
FB,0,no-prices,non-participating (zero impact)
FLT,0,no-prices,non-participating (zero impact)
FMC,252,2024-12-31,legitimate thru window (likely 2025 removal)
HES,0,no-prices,non-participating (zero impact)
HOLX,0,no-prices,non-participating (zero impact)
HRS,0,no-prices,non-participating (zero impact)
IPG,0,no-prices,non-participating (zero impact)
JEC,0,no-prices,non-participating (zero impact)
JNPR,0,no-prices,non-participating (zero impact)
JOYG,0,no-prices,non-participating (zero impact)
K,0,no-prices,non-participating (zero impact)
KMX,252,2024-12-31,legitimate thru window (likely 2025 removal)
KORS,0,no-prices,non-participating (zero impact)
LKQ,252,2024-12-31,legitimate thru window (likely 2025 removal)
LUK,0,no-prices,non-participating (zero impact)
LW,98,2024-12-31,legitimate thru window (likely 2025 removal)
MHK,252,2024-12-31,legitimate thru window (likely 2025 removal)
MKTX,242,2024-12-31,legitimate thru window (likely 2025 removal)
MOH,252,2024-12-31,legitimate thru window (likely 2025 removal)
MTCH,252,2024-12-31,legitimate thru window (likely 2025 removal)
PAYC,129,2024-12-31,legitimate thru window (likely 2025 removal)
PCLN,0,no-prices,non-participating (zero impact)
POOL,252,2024-12-31,legitimate thru window (likely 2025 removal)
QRVO,120,2024-12-31,legitimate thru window (likely 2025 removal)
RE,0,no-prices,non-participating (zero impact)
TFX,252,2024-12-31,legitimate thru window (likely 2025 removal)
TSO,0,no-prices,non-participating (zero impact)
WBA,0,no-prices,non-participating (zero impact)
WLTW,0,no-prices,non-participating (zero impact)
